Latitude,Longitude,Street,Incident_Count,Injured,Killed,Congestion_Index,Last_Incident_Date
40.82019,-73.89068,BRUCKNER BLVD,4,0,0,0.85,2026-04-13T00:00:00.000
40.675735,-73.89685,ATLANTIC AVE,4,0,0,0.85,2026-04-10T00:00:00.000
40.75829,-73.834305,ROOSEVELT AVE,3,0,0,0.63,2026-04-12T00:00:00.000
40.666348,-73.76093,BELT PARKWAY,3,0,0,0.63,2026-04-10T00:00:00.000
40.711033,-73.7281,CROSS ISLAND PARKWAY,3,0,0,0.63,2026-04-11T00:00:00.000
40.835968,-73.869995,CROSS BRONX EXPY,3,0,0,0.63,2026-04-10T00:00:00.000
40.754585,-73.999146,W 34 ST,3,0,0,0.63,2026-04-05T00:00:00.000
40.74105,-73.72586,CROSS ISLAND PKWY,3,0,0,0.63,2026-04-03T00:00:00.000
40.7699,-73.91608,GRAND CENTRAL PKWY,3,0,0,0.63,2026-04-08T00:00:00.000
40.620438,-74.1672,STATEN ISLAND EXPRESSWAY,3,0,0,0.63,2026-04-08T00:00:00.000
40.608223,-74.1294,STATEN ISLAND EXPRESSWAY,3,0,0,0.63,2026-04-01T00:00:00.000
40.80275,-73.93358,E 125 ST,3,0,0,0.63,2026-04-08T00:00:00.000
40.681515,-73.90411,BUSHWICK AVE,3,0,0,0.63,2026-04-05T00:00:00.000
40.58193,-74.16725,Unknown,3,0,0,0.63,2026-04-11T00:00:00.000
40.633804,-73.889694,ROCKAWAY PKWY,3,0,0,0.63,2026-04-12T00:00:00.000
40.670242,-73.907,MOTHER GASTON BLVD,3,0,0,0.63,2026-04-04T00:00:00.000
40.742233,-73.82537,LONG ISLAND EXPRESSWAY,3,0,0,0.63,2026-04-08T00:00:00.000
40.716,-73.807846,GRAND CENTRAL PARKWAY,3,0,0,0.63,2026-04-10T00:00:00.000
40.813072,-73.8982,BRUCKNER BLVD,3,0,0,0.63,2026-03-29T00:00:00.000
40.858116,-73.856636,PELHAM PARKWAY,3,0,0,0.63,2026-04-14T00:00:00.000
40.585438,-73.931274,KNAPP STREET,3,0,0,0.63,2026-04-06T00:00:00.000
40.815308,-73.9437,W 135 ST,3,0,0,0.63,2026-04-01T00:00:00.000
