Latitude,Longitude,Street,Hour,Incident_Count,Total_Injured
40.697400,-73.809510,143 ST,0,1,0
40.788960,-73.975945,W 87 ST,0,1,0
40.848907,-73.898260,Unknown,0,1,0
40.637390,-73.910370,E 84 ST,0,1,0
40.730380,-73.986374,E 11 ST,0,1,0
40.765740,-73.970420,Unknown,0,1,0
40.626408,-74.018520,BROOKLYN QUEENS EXPRESSWAY,0,1,0
40.753030,-73.921620,NORTHERN BLVD,0,2,0
40.669920,-73.918884,EASTERN PKWY,0,1,0
40.588013,-73.955124,Unknown,0,1,0
40.644684,-73.963680,Unknown,0,1,0
40.859642,-73.905334,GRAND AVE,0,1,0
40.877570,-73.856430,E 214 ST,0,1,0
40.756725,-73.960000,FDR DRIVE,0,1,0
40.684647,-73.868690,FULTON ST,0,1,0
40.752754,-73.851900,GRAND CENTRAL PKWY,0,1,0
40.623680,-73.997710,NEW UTRECHT AVE,0,1,0
40.625824,-73.927610,AVENUE K,0,1,0
40.635063,-73.972020,Unknown,0,1,0
40.842846,-73.825676,COUNTRY CLUB RD,0,1,0
40.866314,-73.830320,Unknown,0,1,0
40.904106,-73.846050,PENFIELD ST,0,1,0
40.731018,-73.985910,E 12 ST,0,1,0
40.769980,-73.994644,12 AVE,0,1,0
40.780510,-73.944244,E 93 ST,0,1,0
40.864258,-73.888400,Unknown,0,1,0
40.828983,-73.952156,HENRY HUDSON PARKWAY,0,1,0
40.527718,-74.236115,Unknown,0,1,0
40.508606,-74.244810,Unknown,0,1,0
40.676750,-73.918304,ATLANTIC AVE,0,1,0
40.856342,-73.867850,Unknown,0,1,0
40.625774,-73.936320,AVENUE K,0,1,0
40.752964,-73.930480,33 ST,0,1,0
40.808384,-73.931210,Unknown,0,1,0
40.798077,-73.940704,Unknown,0,1,0
40.703770,-73.805214,150 ST,0,1,0
40.789240,-73.972950,Unknown,0,2,0
40.707153,-73.818900,VAN WYCK EXPWY,0,2,0
40.581150,-74.128590,ROCKLAND AVE,0,1,0
40.754660,-73.833110,SANFORD AVE,0,1,0
40.673965,-73.841560,LINDEN BLVD,0,1,0
40.632664,-74.036130,76 ST,0,1,0
40.731280,-73.923460,54 RD,0,1,0
40.855880,-73.869740,Unknown,0,1,0
40.621960,-73.912840,Unknown,0,1,0
40.722088,-73.850340,Unknown,0,1,0
40.764840,-73.970500,E 61 ST,0,1,0
40.712820,-73.903770,METROPOLITAN AVE,0,1,0
40.559100,-74.117920,GUYON AVE,0,1,0
40.726128,-73.938250,Unknown,0,1,0
40.779613,-73.956250,Unknown,0,1,0
40.711800,-73.771340,188 ST,0,1,0
40.834870,-73.862850,Unknown,0,1,0
40.747192,-73.882890,BAXTER AVE,0,1,0
40.663620,-73.930690,E NEW YORK AVE,0,1,0
40.679350,-73.933655,Unknown,0,1,0
40.684185,-73.844666,Unknown,0,1,0
40.680958,-73.967674,PACIFIC ST,0,1,0
40.701218,-73.923610,Unknown,0,1,0
40.746890,-73.920800,SKILLMAN AVE,0,1,0
40.718582,-73.991745,BROOME ST,0,1,0
40.844975,-73.902466,ITTNER PL,0,1,0
40.633804,-73.889694,ROCKAWAY PKWY,0,3,0
40.589565,-73.939800,NOSTRAND AVE,0,1,0
40.767696,-73.876140,JACKSON MILL RD,0,1,0
40.668950,-73.933890,EASTERN PKWY,0,1,0
40.636740,-73.950806,Unknown,0,1,0
40.862750,-73.904930,W FORDHAM RD,0,1,0
40.885956,-73.896614,MAJOR DEEGAN EXPY,0,1,0
40.752434,-73.897480,BROOKLYN QUEENS EXPRESSWAY,0,1,0
40.770676,-73.735490,NORTHERN BLVD,0,1,0
40.682163,-73.960594,FULTON ST,0,1,0
40.606810,-74.161670,Unknown,0,1,0
40.756187,-73.863000,Unknown,0,1,0
40.867817,-73.896904,Unknown,0,1,0
40.760242,-73.827934,Unknown,0,1,0
40.726093,-73.938610,Unknown,0,1,0
40.606915,-73.752914,REDFERN AVE,0,1,0
40.610610,-73.956700,AVENUE P,0,1,0
40.701084,-73.934790,FORREST ST,0,1,0
40.688760,-73.980840,NEVINS ST,0,1,0
40.755558,-73.884020,Unknown,0,1,0
40.834250,-73.864880,CROSS BRONX EXPY,0,1,0
40.753307,-73.906685,NORTHERN BLVD,0,1,0
40.670580,-73.930954,UTICA AVE,0,1,0
40.733738,-73.954840,MANHATTAN AVE,0,1,0
40.562060,-74.185300,Unknown,0,1,0
40.717160,-73.797960,168 STREET,0,1,0
40.853770,-73.900635,Unknown,0,1,0
40.698544,-73.962360,BROOKLYN QUEENS EXPRESSWAY,0,2,0
40.632214,-73.986180,Unknown,0,1,0
40.692493,-73.817055,130 ST,0,2,0
40.789940,-73.980354,RIVERSIDE DR,0,1,0
40.561523,-74.171850,DRUMGOOLE RD W,0,2,0
40.758835,-73.899000,Unknown,0,1,0
40.701190,-73.807884,SUTPHIN BLVD,0,1,0
40.694687,-73.930890,Unknown,0,1,0
40.753265,-73.864450,103 ST,0,1,0
40.803830,-73.942100,E 122 ST,0,1,0
40.725845,-73.808190,Unknown,0,1,0
40.666260,-73.995960,GOWANUS EXPY (BQE),0,1,0
40.830643,-73.885635,W FARMS RD,0,1,0
40.662780,-73.880850,ASHFORD ST,0,1,0
40.719460,-73.762790,Unknown,0,1,0
40.836500,-73.876150,BRONX RIVER AVENUE,0,1,0
40.625816,-74.152725,Unknown,0,1,0
40.580160,-73.965330,BRIGHTON 3 ST,0,1,0
40.689358,-73.753670,Unknown,0,1,0
40.760250,-73.967520,E 57 ST,0,1,0
40.672800,-73.965706,Unknown,0,1,0
40.610160,-74.157390,Unknown,0,1,0
40.735485,-73.917465,49 ST,0,1,0
40.843765,-73.865590,WHITE PLAINS RD,0,1,0
40.844944,-73.917400,MACOMBS RD,0,1,0
40.713284,-73.735794,SPRINGFIELD BLVD,0,1,0
40.851185,-73.928660,AMSTERDAM AVE,0,1,0
40.757847,-73.899216,31 AVE,0,1,0
40.836296,-73.873690,CROSS BRONX EXPY,0,1,0
40.717210,-73.934700,VANDERVOORT AVE,0,1,0
40.607180,-74.142920,WOODWARD AVE,0,1,0
40.665943,-73.757324,BELT PARKWAY,0,1,0
40.698320,-73.962265,BROOKLYN QUEENS EXPRESSWAY,0,2,0
40.704700,-73.868614,Unknown,0,1,0
40.827200,-73.942444,W 150 ST,0,1,0
40.719124,-73.791405,GRAND CENTRAL PKWY,0,1,0
40.620033,-74.144870,Unknown,0,1,0
40.668705,-73.992520,Unknown,0,1,0
40.804700,-73.932200,E 128 ST,0,1,0
40.904503,-73.896410,BROADWAY,0,1,0
40.742905,-73.896600,WOODSIDE AVE,0,1,0
40.846160,-73.892350,Unknown,0,1,0
40.678574,-73.920730,Unknown,0,1,0
40.730312,-73.863720,Unknown,0,1,0
40.806080,-73.965310,BROADWAY,0,1,0
40.876854,-73.861630,BARNES AVE,0,1,0
40.860664,-73.921700,W 201 ST,0,1,0
40.587940,-73.974335,SHELL RD,0,1,0
40.745056,-73.978610,E 33 ST,0,1,0
40.694546,-73.802110,SUTPHIN BLVD,0,1,0
40.875828,-73.850930,WILSON AVE,0,1,0
40.766422,-73.953850,Unknown,0,1,0
40.554420,-74.160550,E SCRANTON AVE,0,1,0
40.862263,-73.897630,Unknown,0,1,0
40.761684,-73.760310,NORTHERN BLVD,0,1,0
40.826710,-73.845055,Unknown,0,1,0
40.736540,-73.985590,Unknown,0,1,0
40.755657,-73.767166,BELL BLVD,0,1,0
40.640940,-73.960500,E 19 ST,0,1,0
40.632492,-73.949590,CAMPUS RD,0,1,0
40.620953,-74.030624,Unknown,0,1,0
40.681564,-73.894310,HIGHLAND BLVD,0,1,0
40.566400,-74.111500,Unknown,0,1,0
40.666435,-73.834780,BELT PARKWAY,0,1,0
40.694990,-73.827510,Unknown,0,1,0
40.702568,-73.790560,MERRICK BLVD,0,1,0
40.881157,-73.902490,Unknown,0,1,0
40.667076,-73.995070,HAMILTON AVE,0,1,0
40.607820,-74.001945,18 AVE,0,2,0
40.710865,-73.958000,HAVEMEYER ST,0,1,0
40.760277,-73.991520,Unknown,0,1,0
40.844105,-73.898000,CROSS BRONX EXPY,0,1,0
40.679585,-73.936780,Unknown,0,1,0
40.675194,-73.836640,Unknown,0,1,0
40.707718,-73.788216,Unknown,0,1,0
40.595960,-74.072800,LINWOOD AVE,0,1,0
40.638966,-73.945010,Unknown,0,1,0
40.758938,-73.888824,79 ST,0,1,0
40.610104,-74.155396,Unknown,0,1,0
40.704494,-73.808580,Unknown,0,1,0
40.674050,-73.797920,142 PL,0,1,0
40.768280,-73.917885,Unknown,0,1,0
40.877113,-73.829926,Unknown,0,1,0
