Street,Latitude,Longitude,Total_Incidents,Total_Injured,Total_Killed,Danger_Level
BELT PARKWAY,,,63,0,0,5
LONG ISLAND EXPRESSWAY,,,48,0,0,3
BROADWAY,,,44,0,0,3
BROOKLYN QUEENS EXPRESSWAY,,,43,0,0,3
GRAND CENTRAL PKWY,,,43,0,0,3
ATLANTIC AVE,,,36,0,0,2
CROSS ISLAND PARKWAY,,,35,0,0,2
CROSS BRONX EXPY,,,33,0,0,2
MAJOR DEEGAN EXPRESSWAY,,,25,0,0,1
FDR DRIVE,,,25,0,0,1
BRUCKNER BLVD,,,25,0,0,1
FULTON ST,,,23,0,0,1
NORTHERN BLVD,,,23,0,0,1
BEDFORD AVE,,,21,0,0,1
BRUCKNER EXPRESSWAY,,,21,0,0,1
VAN WYCK EXPWY,,,20,0,0,1
EASTERN PKWY,,,19,0,0,1
LINDEN BLVD,,,19,0,0,1
FLATBUSH AVE,,,18,0,0,1
HYLAN BLVD,,,18,0,0,1
STATEN ISLAND EXPRESSWAY,,,18,0,0,1
GOWANUS EXPY (BQE),,,18,0,0,1
2 AVE,,,17,0,0,1
3 AVE,,,16,0,0,1
ROCKAWAY PKWY,,,15,0,0,1
GRAND CENTRAL PARKWAY,,,14,0,0,1
JAMAICA AVE,,,14,0,0,1
BUSHWICK AVE,,,14,0,0,1
HENRY HUDSON PARKWAY,,,13,0,0,1
8 AVE,,,13,0,0,1
WOODHAVEN BLVD,,,13,0,0,1
NOSTRAND AVE,,,12,0,0,1
CROSS ISLAND PKWY,,,12,0,0,1
CLEARVIEW EXPRESSWAY,,,11,0,0,1
AMSTERDAM AVE,,,11,0,0,1
HARLEM RIVER DRIVE,,,11,0,0,1
5 AVE,,,11,0,0,1
86 ST,,,11,0,0,1
ROOSEVELT AVE,,,10,0,0,1
HILLSIDE AVE,,,10,0,0,1
CHURCH AVE,,,10,0,0,1
JEROME AVE,,,10,0,0,1
108 ST,,,10,0,0,1
JACKIE ROBINSON PKWY,,,9,0,0,1
HUTCHINSON RIVER PARKWAY,,,9,0,0,1
GRAND AVE,,,9,0,0,1
LIBERTY AVE,,,9,0,0,1
E TREMONT AVE,,,9,0,0,1
SUTPHIN BLVD,,,9,0,0,1
BRONX RIVER PARKWAY,,,9,0,0,1
ROCKAWAY AVE,,,9,0,0,1
UTICA AVE,,,9,0,0,1
RALPH AVE,,,9,0,0,1
MYRTLE AVE,,,9,0,0,1
PARK AVE,,,8,0,0,1
E 23 ST,,,8,0,0,1
W 42 ST,,,8,0,0,1
65 ST,,,8,0,0,1
WESTCHESTER AVE,,,8,0,0,1
CONEY ISLAND AVE,,,8,0,0,1
NEPTUNE AVE,,,8,0,0,1
OCEAN AVE,,,8,0,0,1
ROCKAWAY BLVD,,,8,0,0,1
9 AVE,,,8,0,0,1
WEBSTER AVE,,,8,0,0,1
W 207 ST,,,8,0,0,1
69 ST,,,8,0,0,1
LEXINGTON AVE,,,8,0,0,1
METROPOLITAN AVE,,,7,0,0,1
E NEW YORK AVE,,,7,0,0,1
AVENUE K,,,7,0,0,1
E FORDHAM RD,,,7,0,0,1
7 AVE,,,7,0,0,1
W FORDHAM RD,,,7,0,0,1
WHITESTONE EXPRESSWAY,,,7,0,0,1
PARSONS BLVD,,,7,0,0,1
SUTTER AVE,,,7,0,0,1
ST NICHOLAS AVE,,,7,0,0,1
CANAL ST,,,7,0,0,1
RICHMOND RD,,,7,0,0,1
W 30 ST,,,7,0,0,1
ARTHUR KILL RD,,,7,0,0,1
S CONDUIT AVE,,,7,0,0,1
MERRICK BLVD,,,7,0,0,1
DITMAS AVE,,,7,0,0,1
KINGS HWY,,,7,0,0,1
RIVERSIDE DR,,,7,0,0,1
BOSTON RD,,,7,0,0,1
WHITE PLAINS RD,,,7,0,0,1
UNION ST,,,6,0,0,1
N CONDUIT AVE,,,6,0,0,1
PITKIN AVE,,,6,0,0,1
AVENUE D,,,6,0,0,1
MAIN ST,,,6,0,0,1
CENTRAL AVE,,,6,0,0,1
ADAM CLAYTON POWELL JR BLVD,,,6,0,0,1
31 ST,,,6,0,0,1
MOTHER GASTON BLVD,,,6,0,0,1
REMSEN AVE,,,6,0,0,1
BLEECKER ST,,,6,0,0,1
FOREST AVE,,,6,0,0,1
QUEENS BLVD,,,6,0,0,1
FOSTER AVE,,,6,0,0,1
11 AVE,,,6,0,0,1
21 ST,,,6,0,0,1
130 ST,,,6,0,0,1
E GUN HILL RD,,,6,0,0,1
E 233 ST,,,5,0,0,1
E 125 ST,,,5,0,0,1
E 163 ST,,,5,0,0,1
CLASSON AVE,,,5,0,0,1
COURT ST,,,5,0,0,1
DEKALB AVE,,,5,0,0,1
CROSS BAY BLVD,,,5,0,0,1
E HOUSTON ST,,,5,0,0,1
WEST SHORE EXPRESSWAY,,,5,0,0,1
10 AVE,,,5,0,0,1
150 ST,,,5,0,0,1
CENTRAL PARK W,,,5,0,0,1
E 174 ST,,,5,0,0,1
FRANKLIN AVE,,,5,0,0,1
GOLD ST,,,5,0,0,1
E 149 ST,,,5,0,0,1
ST JOHNS PL,,,5,0,0,1
CYPRESS AVE,,,5,0,0,1
PELHAM PARKWAY,,,5,0,0,1
JUNCTION BLVD,,,5,0,0,1
102 ST,,,5,0,0,1
W 96 ST,,,5,0,0,1
BEACH CHANNEL DR,,,5,0,0,1
HORACE HARDING EXPY,,,5,0,0,1
BAISLEY BLVD,,,5,0,0,1
HYLAN BOULEVARD,,,5,0,0,1
48 ST,,,5,0,0,1
E 138 ST,,,5,0,0,1
LAFAYETTE AVE,,,5,0,0,1
1 AVE,,,5,0,0,1
AVENUE P,,,5,0,0,1
GRAND ST,,,5,0,0,1
OCEAN PKWY,,,5,0,0,1
AVENUE M,,,5,0,0,1
BORDEN AVE,,,4,0,0,1
MAJOR DEEGAN EXPY,,,4,0,0,1
BAY PKWY,,,4,0,0,1
CRESCENT ST,,,4,0,0,1
MANHATTAN AVE,,,4,0,0,1
W 125 ST,,,4,0,0,1
STANLEY AVE,,,4,0,0,1
MCGUINNESS BLVD,,,4,0,0,1
NAGLE AVE,,,4,0,0,1
COLLEGE POINT BLVD,,,4,0,0,1
BELT PKWY,,,4,0,0,1
114 ST,,,4,0,0,1
WILSON AVE,,,4,0,0,1
PELHAM PKWY,,,4,0,0,1
