Latitude,Longitude,Street,Hour,Incident_Count,Total_Injured
40.59332,-73.77272,BEACH 41 STREET,0,1,0
40.70024,-73.75379,MURDOCK AVE,0,1,0
40.81583,-73.94704,W 134 ST,0,1,0
40.684437,-73.97773,Unknown,0,1,0
40.667114,-73.834656,NORTH CONDUIT AVENUE,0,11,0
40.860764,-73.87195,BRONX RIVER PARKWAY,0,2,0
40.692627,-73.959,KENT AVENUE,0,2,0
40.662178,-73.85025,BELT PARKWAY,0,2,0
40.725975,-73.7575,GRAND CENTRAL PKWY,0,2,0
40.676403,-73.87218,Unknown,0,1,0
40.86208,-73.86748,Unknown,0,1,0
40.623363,-74.03404,RIDGE BLVD,0,1,0
40.758007,-73.96625,EAST 55 STREET,0,1,0
40.89111,-73.863045,BRONX BOULEVARD,0,1,0
40.637054,-73.98643,14 AVENUE,0,1,0
40.83398,-73.82635,BRUCKNER EXPRESSWAY,0,1,0
40.733963,-73.988785,IRVING PLACE,0,1,0
40.811108,-73.92734,3 AVENUE,0,1,0
40.833965,-73.86289,CROSS BRONX EXPY,0,1,0
40.694817,-73.98327,JOHNSON ST,0,1,0
40.818516,-73.89442,Unknown,0,1,0
40.55442,-74.16055,E SCRANTON AVE,0,1,0
40.758595,-73.87452,94 STREET,0,1,0
40.79766,-73.94231,Unknown,0,1,0
40.744072,-73.78353,UNDERHILL AVENUE,0,1,0
40.70281,-73.74387,COLFAX STREET,0,2,0
40.735214,-73.99172,EAST 14 STREET,0,1,0
40.841076,-73.939766,BROADWAY,0,1,0
40.72877,-74.007095,HUDSON STREET,0,1,0
40.612392,-74.03274,Unknown,0,1,0
40.596966,-73.931496,AVENUE W,0,1,0
40.759544,-73.883,Unknown,0,1,0
40.710876,-74.01439,LIBERTY STREET,0,3,0
40.666008,-73.87132,Unknown,0,1,0
40.83472,-73.89846,CROTONA PARK SOUTH,0,1,0
40.776897,-73.97547,CENTRAL PARK WEST,0,2,0
40.661076,-73.89864,Unknown,0,1,0
40.700726,-73.94194,FLUSHING AVENUE,0,6,0
40.64093,-73.91842,Unknown,0,1,0
40.731785,-73.81082,Unknown,0,1,0
40.659046,-73.9585,Unknown,0,1,0
40.81909,-73.90087,Unknown,0,1,0
40.75621,-73.92896,36 AVENUE,0,2,0
40.84046,-73.88596,CROSS BRONX EXPY,0,2,0
40.703835,-73.757416,199 STREET,0,1,0
40.696163,-73.76881,DUNKIRK STREET,0,1,0
40.755997,-73.8634,105 STREET,0,2,0
40.67702,-73.80444,Unknown,0,1,0
40.617153,-74.033104,Unknown,0,1,0
40.741333,-73.98975,Unknown,0,1,0
40.757523,-73.82914,41 ROAD,0,1,0
40.709312,-73.90939,Unknown,0,1,0
40.74686,-73.90968,39 DRIVE,0,1,0
40.68578,-73.9544,BEDFORD AVENUE,0,1,0
40.579975,-73.97464,WEST 6 STREET,0,2,0
