Street,Avg_Latitude,Avg_Longitude,Total_Incidents,Avg_Congestion,Max_Congestion,Total_Injured,Point_Count
Unknown,40.720865,-73.915597,12066,0.03,4.29,0,11354
BROOKLYN QUEENS EXPRESSWAY,40.707813,-73.956146,355,0.07,0.6,0,155
PENNSYLVANIA AVENUE,40.659428,-73.889387,121,0.13,0.57,0,29
BELT PARKWAY,40.621756,-73.907706,703,0.08,0.51,0,271
ROCKAWAY BOULEVARD,40.672314,-73.811091,79,0.05,0.44,0,46
FDR DRIVE,40.750758,-73.962157,367,0.08,0.44,0,143
CROSS BRONX EXPY,40.839414,-73.888954,235,0.09,0.41,0,86
BRONX RIVER PARKWAY,40.857149,-73.8708,148,0.06,0.38,0,75
VAN WYCK EXPWY,40.714672,-73.822202,225,0.08,0.38,0,86
NORTH CONDUIT AVENUE,40.667597,-73.799085,119,0.08,0.35,0,46
EASTERN PARKWAY,39.629018,-72.035445,133,0.11,0.35,0,39
ATLANTIC AVENUE,40.382745,-73.370941,304,0.07,0.35,0,136
BRUCKNER BOULEVARD,40.210503,-72.780961,180,0.08,0.35,0,67
MAJOR DEEGAN EXPRESSWAY,40.852899,-73.913986,272,0.08,0.35,0,113
SHORE PARKWAY,40.591173,-73.971771,38,0.05,0.35,0,23
LONG ISLAND EXPRESSWAY,40.73893,-73.840462,381,0.07,0.35,0,163
LAURELTON PARKWAY,40.672996,-73.735145,47,0.07,0.35,0,21
BEDFORD AVENUE,40.662564,-73.958841,126,0.06,0.35,0,70
CROSS ISLAND PARKWAY,40.752151,-73.755104,242,0.07,0.32,0,110
HYLAN BOULEVARD,40.563644,-74.12476,107,0.05,0.32,0,66
WEST FORDHAM ROAD,40.862369,-73.908461,50,0.12,0.32,0,13
LINDEN BOULEVARD,40.354542,-73.268038,230,0.06,0.32,0,128
SOUTH CONDUIT AVENUE,40.666239,-73.775334,74,0.06,0.29,0,40
FLATBUSH AVENUE EXTENSION,40.693619,-73.983318,29,0.09,0.29,0,10
EAST 233 STREET,40.892584,-73.856608,41,0.08,0.29,0,16
HENRY HUDSON PARKWAY,40.830968,-73.953018,185,0.06,0.29,0,104
WHITESTONE EXPRESSWAY,39.705547,-71.886006,64,0.05,0.29,0,38
EAST 138 STREET,40.808609,-73.921527,43,0.06,0.25,0,21
WEST 181 STREET,40.851371,-73.930362,20,0.06,0.25,0,10
FLATBUSH AVENUE,40.036544,-72.84637,139,0.06,0.25,0,67
CLEARVIEW EXPRESSWAY,40.756267,-73.775837,52,0.05,0.25,0,33
BAY PARKWAY,40.608655,-73.986943,55,0.07,0.25,0,25
GRAND CENTRAL PKWY,40.740984,-73.823123,302,0.07,0.25,0,143
2 AVENUE,40.312166,-73.162032,145,0.05,0.25,0,92
STATEN ISLAND EXPRESSWAY,39.797837,-72.634038,110,0.07,0.25,0,50
GOWANUS EXPY (BQE),40.656174,-74.00634,68,0.06,0.22,0,33
EAST TREMONT AVENUE,40.841699,-73.872687,90,0.05,0.22,0,54
BOWERY,40.720776,-73.994034,35,0.07,0.22,0,16
CANAL STREET,40.71575,-74.00582,58,0.08,0.22,0,22
UTICA AVENUE,39.751265,-72.287101,133,0.09,0.22,0,45
WEST 145 STREET,37.421636,-67.781779,39,0.1,0.22,0,12
HUNTS POINT AVENUE,40.816878,-73.88777,21,0.07,0.22,0,9
BRUCKNER EXPRESSWAY,40.827689,-73.862945,158,0.06,0.22,0,77
WEBSTER AVENUE,40.005491,-72.353346,111,0.07,0.22,0,48
WEST 143 STREET,40.822856,-73.945994,13,0.06,0.22,0,7
EAST 149 STREET,40.815008,-73.915656,39,0.06,0.22,0,19
BROADWAY,40.590465,-73.623641,362,0.05,0.22,0,231
UNIVERSITY AVENUE,39.388695,-71.279308,54,0.06,0.22,0,28
ROCKAWAY PARKWAY,39.086248,-71.064813,62,0.08,0.22,0,26
CHRYSTIE STREET,34.902707,-63.422547,14,0.06,0.22,0,7
GRAND STREET,40.714529,-73.963275,53,0.05,0.22,0,32
EAST HOUSTON STREET,40.722439,-73.986951,37,0.07,0.22,0,16
