Street,Latitude,Longitude,Total_Incidents,Total_Injured,Total_Killed,Danger_Level
BELT PARKWAY,,,703,0,0,5
LONG ISLAND EXPRESSWAY,,,381,0,0,2
FDR DRIVE,,,367,0,0,2
BROADWAY,,,362,0,0,2
BROOKLYN QUEENS EXPRESSWAY,,,355,0,0,2
ATLANTIC AVENUE,,,304,0,0,2
GRAND CENTRAL PKWY,,,302,0,0,2
MAJOR DEEGAN EXPRESSWAY,,,272,0,0,1
CROSS ISLAND PARKWAY,,,242,0,0,1
CROSS BRONX EXPY,,,235,0,0,1
LINDEN BOULEVARD,,,230,0,0,1
3 AVENUE,,,229,0,0,1
VAN WYCK EXPWY,,,225,0,0,1
HENRY HUDSON PARKWAY,,,185,0,0,1
BRUCKNER BOULEVARD,,,180,0,0,1
BRUCKNER EXPRESSWAY,,,158,0,0,1
NORTHERN BOULEVARD,,,153,0,0,1
BRONX RIVER PARKWAY,,,148,0,0,1
2 AVENUE,,,145,0,0,1
FLATBUSH AVENUE,,,139,0,0,1
EASTERN PARKWAY,,,133,0,0,1
UTICA AVENUE,,,133,0,0,1
BUSHWICK AVENUE,,,127,0,0,1
BEDFORD AVENUE,,,126,0,0,1
JACKIE ROBINSON PKWY,,,122,0,0,1
NOSTRAND AVENUE,,,121,0,0,1
PENNSYLVANIA AVENUE,,,121,0,0,1
NORTH CONDUIT AVENUE,,,119,0,0,1
5 AVENUE,,,116,0,0,1
FULTON STREET,,,115,0,0,1
QUEENS BOULEVARD,,,112,0,0,1
WEBSTER AVENUE,,,111,0,0,1
STATEN ISLAND EXPRESSWAY,,,110,0,0,1
HYLAN BOULEVARD,,,107,0,0,1
KINGS HIGHWAY,,,106,0,0,1
MYRTLE AVENUE,,,106,0,0,1
7 AVENUE,,,105,0,0,1
LIBERTY AVENUE,,,103,0,0,1
JAMAICA AVENUE,,,102,0,0,1
AMSTERDAM AVENUE,,,101,0,0,1
PARK AVENUE,,,100,0,0,1
JEROME AVENUE,,,100,0,0,1
8 AVENUE,,,93,0,0,1
EAST TREMONT AVENUE,,,90,0,0,1
WOODHAVEN BOULEVARD,,,89,0,0,1
GRAND CONCOURSE,,,87,0,0,1
4 AVENUE,,,85,0,0,1
MERRICK BOULEVARD,,,81,0,0,1
RALPH AVENUE,,,81,0,0,1
1 AVENUE,,,80,0,0,1
ROCKAWAY BOULEVARD,,,79,0,0,1
WESTCHESTER AVENUE,,,77,0,0,1
OCEAN PARKWAY,,,76,0,0,1
SOUTH CONDUIT AVENUE,,,74,0,0,1
METROPOLITAN AVENUE,,,74,0,0,1
BOSTON ROAD,,,72,0,0,1
HILLSIDE AVENUE,,,70,0,0,1
FLUSHING AVENUE,,,69,0,0,1
GOWANUS EXPY (BQE),,,68,0,0,1
HARLEM RIVER DRIVE,,,68,0,0,1
86 STREET,,,66,0,0,1
SPRINGFIELD BOULEVARD,,,65,0,0,1
WHITESTONE EXPRESSWAY,,,64,0,0,1
FRANCIS LEWIS BOULEVARD,,,63,0,0,1
SUTTER AVENUE,,,63,0,0,1
ROCKAWAY PARKWAY,,,62,0,0,1
EAST GUN HILL ROAD,,,60,0,0,1
LEXINGTON AVENUE,,,59,0,0,1
CANAL STREET,,,58,0,0,1
FLATLANDS AVENUE,,,57,0,0,1
9 AVENUE,,,57,0,0,1
ASTORIA BOULEVARD,,,56,0,0,1
RICHMOND AVENUE,,,56,0,0,1
SAINT NICHOLAS AVENUE,,,56,0,0,1
AVENUE OF THE AMERICAS,,,56,0,0,1
65 STREET,,,55,0,0,1
HUTCHINSON RIVER PARKWAY,,,55,0,0,1
BAY PARKWAY,,,55,0,0,1
FARMERS BOULEVARD,,,54,0,0,1
DE KALB AVENUE,,,54,0,0,1
UNIVERSITY AVENUE,,,54,0,0,1
EAST FORDHAM ROAD,,,54,0,0,1
GRAND STREET,,,53,0,0,1
PITKIN AVENUE,,,52,0,0,1
CHURCH AVENUE,,,52,0,0,1
CLEARVIEW EXPRESSWAY,,,52,0,0,1
ROOSEVELT AVENUE,,,51,0,0,1
WASHINGTON AVENUE,,,51,0,0,1
ROCKAWAY AVENUE,,,51,0,0,1
WEST FORDHAM ROAD,,,50,0,0,1
21 STREET,,,50,0,0,1
NEPTUNE AVENUE,,,50,0,0,1
MORRIS AVENUE,,,50,0,0,1
COLLEGE POINT BOULEVARD,,,49,0,0,1
BEACH CHANNEL DRIVE,,,49,0,0,1
WHITE PLAINS ROAD,,,48,0,0,1
OCEAN AVENUE,,,47,0,0,1
LAURELTON PARKWAY,,,47,0,0,1
10 AVENUE,,,46,0,0,1
LAFAYETTE AVENUE,,,46,0,0,1
MADISON AVENUE,,,46,0,0,1
UNION TURNPIKE,,,46,0,0,1
CROPSEY AVENUE,,,46,0,0,1
108 STREET,,,46,0,0,1
FOREST AVENUE,,,45,0,0,1
CENTRAL AVENUE,,,44,0,0,1
CROSS BAY BOULEVARD,,,44,0,0,1
REMSEN AVENUE,,,44,0,0,1
FRANKLIN AVENUE,,,43,0,0,1
WEST STREET,,,43,0,0,1
EAST 138 STREET,,,43,0,0,1
WILSON AVENUE,,,41,0,0,1
150 STREET,,,41,0,0,1
14 AVENUE,,,41,0,0,1
ROGERS AVENUE,,,41,0,0,1
EAST 233 STREET,,,41,0,0,1
KNICKERBOCKER AVENUE,,,41,0,0,1
CONEY ISLAND AVENUE,,,40,0,0,1
DELANCEY STREET,,,40,0,0,1
AVENUE J,,,39,0,0,1
EAST 149 STREET,,,39,0,0,1
WEST 145 STREET,,,39,0,0,1
SOUTHERN BOULEVARD,,,39,0,0,1
MARCY AVENUE,,,39,0,0,1
SAINT JOHNS PLACE,,,39,0,0,1
TOMPKINS AVENUE,,,39,0,0,1
SHORE PARKWAY,,,38,0,0,1
EAST 161 STREET,,,38,0,0,1
GATES AVENUE,,,38,0,0,1
GRAND AVENUE,,,37,0,0,1
AVENUE M,,,37,0,0,1
AVENUE P,,,37,0,0,1
FOSTER AVENUE,,,37,0,0,1
EAST 180 STREET,,,37,0,0,1
EAST HOUSTON STREET,,,37,0,0,1
NEW LOTS AVENUE,,,36,0,0,1
RICHMOND ROAD,,,36,0,0,1
CROSS BRONX EXPRESSWAY,,,36,0,0,1
20 AVENUE,,,36,0,0,1
BAISLEY BOULEVARD,,,36,0,0,1
BREWER BOULEVARD,,,36,0,0,1
FARRAGUT ROAD,,,36,0,0,1
HORACE HARDING EXPRESSWAY,,,36,0,0,1
VICTORY BOULEVARD,,,36,0,0,1
BLAKE AVENUE,,,36,0,0,1
37 AVENUE,,,36,0,0,1
BOWERY,,,35,0,0,1
AVENUE U,,,35,0,0,1
RIVERSIDE DRIVE,,,35,0,0,1
WEST 125 STREET,,,35,0,0,1
NEW YORK AVENUE,,,35,0,0,1
MARCUS GARVEY BOULEVARD,,,34,0,0,1
BROOKLYN AVENUE,,,34,0,0,1
CENTRAL PARK WEST,,,34,0,0,1
11 AVENUE,,,34,0,0,1
HAMILTON AVENUE,,,34,0,0,1
35 AVENUE,,,34,0,0,1
SUTPHIN BOULEVARD,,,34,0,0,1
PARSONS BOULEVARD,,,34,0,0,1
CYPRESS AVENUE,,,34,0,0,1
BROOKVILLE BOULEVARD,,,33,0,0,1
SCHENECTADY AVENUE,,,32,0,0,1
MANHATTAN AVENUE,,,32,0,0,1
80 STREET,,,32,0,0,1
GLENWOOD ROAD,,,32,0,0,1
WYTHE AVENUE,,,32,0,0,1
CRESCENT STREET,,,31,0,0,1
ALBANY AVENUE,,,31,0,0,1
THROOP AVENUE,,,31,0,0,1
LIVONIA AVENUE,,,31,0,0,1
HALSEY STREET,,,31,0,0,1
PACIFIC STREET,,,31,0,0,1
