Link_ID,Record_ID,Street_Segment_Name,Borough,Owner,Transcom_ID,Current_Speed_MPH,Travel_Time_Seconds,Data_As_Of,Segment_Status_Code,Segment_Status_Label,Speed_Category,Point_Count,Start_Latitude,Start_Longitude,End_Latitude,End_Longitude,Mid_Latitude,Mid_Longitude,Link_Points
4616247,126,BE N Castle Hill Avenue - Griswold Ave,Bronx,NYC_DOT_LIC,4616247,44.74,166.0,2017-05-05T10:26:51.000,0,Normal,Free flow,13,40.827161,-73.849930,40.834301,-73.825710,40.829200,-73.835541,"40.827161,-73.849930 40.827710,-73.846710 40.828410,-73.843471 40.828690,-73.841330 40.828790,-73.838600 40.828910,-73.837000 40.829200,-73.835541 40.829680,-73.834031 40.830500,-73.832390 40.832110,-73.829830 40.833050,-73.828260 40.833660,-73.826930 40.834301,-73.825710"
4616246,129,BE N STRATFORD AVENUE - CASTLE HILL AVE,Bronx,NYC_DOT_LIC,4616246,49.71,92.0,2017-05-05T10:26:51.000,0,Normal,Free flow,7,40.824071,-73.874311,40.827181,-73.849940,40.825360,-73.864260,"40.824071,-73.874311 40.824700,-73.869590 40.825191,-73.865960 40.825360,-73.864260 40.825870,-73.859610 40.826601,-73.854240 40.827181,-73.849940"
4616260,137,BE S CASTLE HILL AVENUE - STRATFORD AVENUE,Bronx,NYC_DOT_LIC,4616260,52.2,75.0,2017-04-05T01:33:36.000,0,Normal,Free flow,6,40.824201,-73.874361,40.827310,-73.849980,40.825910,-73.860311,"40.824201,-73.874361 40.824980,-73.868411 40.825400,-73.865281 40.825910,-73.860311 40.826691,-73.854581 40.827310,-73.849980"
4616261,142,BE S Griswold - Castle Hill Avenue,Bronx,NYC_DOT_LIC,4616261,49.71,150.0,2017-05-05T10:21:49.000,0,Normal,Free flow,12,40.830370,-73.850620,40.830091,-73.833971,40.828980,-73.842891,"40.830370,-73.850620 40.829960,-73.849251 40.829461,-73.847771 40.829041,-73.846450 40.828810,-73.845230 40.828810,-73.844191 40.828980,-73.842891 40.829860,-73.838141 40.830050,-73.836841 40.830060,-73.835780 40.830021,-73.834511 40.830091,-73.833971"
4616252,159,BRP N WATSON AVENUE - FORDHAM ROAD,Bronx,NYC_DOT_LIC,4616252,45.98,119.0,2017-05-05T10:21:49.000,0,Normal,Free flow,12,40.856351,-73.872330,40.829850,-73.873130,40.839610,-73.872730,"40.856351,-73.872330 40.852190,-73.871371 40.850070,-73.871110 40.846940,-73.871150 40.845960,-73.871311 40.842400,-73.872020 40.839610,-73.872730 40.836240,-73.873720 40.834951,-73.873900 40.833361,-73.873831 40.831970,-73.873681 40.829850,-73.873130"
4616266,160,BRP S FORDHAM ROAD - WATSON AVENUE,Bronx,NYC_DOT_LIC,4616266,45.98,120.0,2017-05-05T10:21:49.000,0,Normal,Free flow,12,40.856280,-73.872540,40.829840,-73.873331,40.839640,-73.872910,"40.856280,-73.872540 40.852180,-73.871581 40.850171,-73.871451 40.848330,-73.871491 40.845851,-73.871520 40.842390,-73.872261 40.839640,-73.872910 40.836300,-73.873900 40.834951,-73.874080 40.833390,-73.874070 40.831970,-73.873921 40.829840,-73.873331"
4616305,165,BWB N Toll Plaza - HRP N Lafayatte Ave,Bronx,NYC_DOT_LIC,4616305,49.71,53.0,2017-05-05T10:21:49.000,0,Normal,Free flow,6,40.814770,-73.836290,40.825130,-73.836240,40.820240,-73.835890,"40.814770,-73.836290 40.816110,-73.836270 40.817840,-73.836010 40.820240,-73.835890 40.823961,-73.836070 40.825130,-73.836240"
4456496,168,BWB S Toll Plaza - Queens Anchorage,Bronx,NYC_DOT_LIC,4456496,32.93,141.0,2017-05-05T10:25:54.000,0,Normal,Moderate traffic,8,40.814761,-73.836680,40.799250,-73.828251,40.811840,-73.836121,"40.814761,-73.836680 40.813540,-73.836590 40.813050,-73.836500 40.812450,-73.836380 40.811840,-73.836121 40.811100,-73.835620 40.804931,-73.831821 40.799250,-73.828251"
4616310,172,CBE AMSTERDAM AVE (L/LVL) - MORRIS AVE,Bronx,NYC_DOT_LIC,4616310,11.18,368.0,2017-05-05T10:21:49.000,0,Normal,Heavy congestion,9,40.824950,-73.836211,40.797150,-73.826570,40.815550,-73.836280,"40.824950,-73.836211 40.823670,-73.836020 40.820261,-73.835941 40.818880,-73.835951 40.815550,-73.836280 40.812750,-73.836270 40.812431,-73.836211 40.811390,-73.835710 40.797150,-73.826570"
4616309,177,CBE E AMSTERDAM AVE(U/LVL) - MORRIS AVE,Bronx,NYC_DOT_LIC,4616309,8.7,459.0,2017-05-05T10:21:49.000,0,Normal,Severe congestion,11,40.846430,-73.932130,40.845030,-73.909371,40.844780,-73.922460,"40.846430,-73.932130 40.845890,-73.930331 40.845160,-73.927390 40.844780,-73.925401 40.844711,-73.924120 40.844780,-73.922460 40.844891,-73.920450 40.845110,-73.915340 40.845131,-73.911940 40.845110,-73.910811 40.845030,-73.909371"
