Link_ID,Street_Segment_Name,Borough,Sequence,Latitude,Longitude,Current_Speed_MPH,Travel_Time_Seconds,Data_As_Of,Segment_Status_Label,Speed_Category
4616247,BE N Castle Hill Avenue - Griswold Ave,Bronx,1,40.827161,-73.849930,44.74,166.0,2017-05-05T10:26:51.000,Normal,Free flow
4616247,BE N Castle Hill Avenue - Griswold Ave,Bronx,2,40.827710,-73.846710,44.74,166.0,2017-05-05T10:26:51.000,Normal,Free flow
4616247,BE N Castle Hill Avenue - Griswold Ave,Bronx,3,40.828410,-73.843471,44.74,166.0,2017-05-05T10:26:51.000,Normal,Free flow
4616247,BE N Castle Hill Avenue - Griswold Ave,Bronx,4,40.828690,-73.841330,44.74,166.0,2017-05-05T10:26:51.000,Normal,Free flow
4616247,BE N Castle Hill Avenue - Griswold Ave,Bronx,5,40.828790,-73.838600,44.74,166.0,2017-05-05T10:26:51.000,Normal,Free flow
4616247,BE N Castle Hill Avenue - Griswold Ave,Bronx,6,40.828910,-73.837000,44.74,166.0,2017-05-05T10:26:51.000,Normal,Free flow
4616247,BE N Castle Hill Avenue - Griswold Ave,Bronx,7,40.829200,-73.835541,44.74,166.0,2017-05-05T10:26:51.000,Normal,Free flow
4616247,BE N Castle Hill Avenue - Griswold Ave,Bronx,8,40.829680,-73.834031,44.74,166.0,2017-05-05T10:26:51.000,Normal,Free flow
4616247,BE N Castle Hill Avenue - Griswold Ave,Bronx,9,40.830500,-73.832390,44.74,166.0,2017-05-05T10:26:51.000,Normal,Free flow
4616247,BE N Castle Hill Avenue - Griswold Ave,Bronx,10,40.832110,-73.829830,44.74,166.0,2017-05-05T10:26:51.000,Normal,Free flow
4616247,BE N Castle Hill Avenue - Griswold Ave,Bronx,11,40.833050,-73.828260,44.74,166.0,2017-05-05T10:26:51.000,Normal,Free flow
4616247,BE N Castle Hill Avenue - Griswold Ave,Bronx,12,40.833660,-73.826930,44.74,166.0,2017-05-05T10:26:51.000,Normal,Free flow
4616247,BE N Castle Hill Avenue - Griswold Ave,Bronx,13,40.834301,-73.825710,44.74,166.0,2017-05-05T10:26:51.000,Normal,Free flow
4616246,BE N STRATFORD AVENUE - CASTLE HILL AVE,Bronx,1,40.824071,-73.874311,49.71,92.0,2017-05-05T10:26:51.000,Normal,Free flow
4616246,BE N STRATFORD AVENUE - CASTLE HILL AVE,Bronx,2,40.824700,-73.869590,49.71,92.0,2017-05-05T10:26:51.000,Normal,Free flow
