Borough,Street_Segment_Name,Segment_Count,Average_Speed_MPH,Minimum_Speed_MPH,Maximum_Speed_MPH,Average_Travel_Time_Seconds,Latest_Data_As_Of,Representative_Latitude,Representative_Longitude,Most_Recent_Speed_Category
Bronx,BE N Castle Hill Avenue - Griswold Ave,1,44.74,44.74,44.74,166.0,2017-05-05T10:26:51.000,40.830167,-73.836133,Free flow
Bronx,BE N STRATFORD AVENUE - CASTLE HILL AVE,1,49.71,49.71,49.71,92.0,2017-05-05T10:26:51.000,40.825567,-73.862559,Free flow
Bronx,BE S CASTLE HILL AVENUE - STRATFORD AVENUE,1,52.2,52.2,52.2,75.0,2017-04-05T01:33:36.000,40.825749,-73.862154,Free flow
Bronx,BE S Griswold - Castle Hill Avenue,1,49.71,49.71,49.71,150.0,2017-05-05T10:21:49.000,40.829626,-73.842137,Free flow
Bronx,BRP N WATSON AVENUE - FORDHAM ROAD,1,45.98,45.98,45.98,119.0,2017-05-05T10:21:49.000,40.841658,-73.872524,Free flow
Bronx,BRP S FORDHAM ROAD - WATSON AVENUE,1,45.98,45.98,45.98,120.0,2017-05-05T10:21:49.000,40.841774,-73.872755,Free flow
Bronx,BWB N Toll Plaza - HRP N Lafayatte Ave,1,49.71,49.71,49.71,53.0,2017-05-05T10:21:49.000,40.819675,-73.836128,Free flow
Bronx,BWB S Toll Plaza - Queens Anchorage,1,32.93,32.93,32.93,141.0,2017-05-05T10:25:54.000,40.810115,-73.834745,Moderate traffic
Bronx,CBE AMSTERDAM AVE (L/LVL) - MORRIS AVE,1,11.18,11.18,11.18,368.0,2017-05-05T10:21:49.000,40.815575,-73.834869,Heavy congestion
Bronx,CBE E AMSTERDAM AVE(U/LVL) - MORRIS AVE,1,8.7,8.7,8.7,459.0,2017-05-05T10:21:49.000,40.845184,-73.920886,Severe congestion
Bronx,CBE E CASTLE HILL AVE - BE N WATERBURY AVE,1,45.98,45.98,45.98,178.0,2017-05-05T10:21:49.000,40.828691,-73.843468,Free flow
Bronx,CBE E TAYLOR AVENUE - CASTLE HILL AVENUE,1,52.2,52.2,52.2,49.0,2017-05-05T10:21:49.000,40.831598,-73.855509,Free flow
Bronx,CBE W CASTLE HILL AVENUE - TAYLOR AVENUE,1,9.94,9.94,9.94,255.0,2017-05-05T10:21:49.000,40.83318,-73.860054,Severe congestion
Bronx,CBE W L/LE V AMSTERDAM AVE - I 95 S LOC LNS,1,1.86,1.86,1.86,3183.0,2017-05-05T10:26:49.000,40.85079,-73.948492,Severe congestion
Bronx,CBE W MORRIS AVE - GWB W AMSTERDAM AVE (L/LVL),1,14.91,14.91,14.91,284.0,2017-05-05T10:26:50.000,40.845448,-73.922764,Heavy congestion
Bronx,CBE W MORRIS AVE - GWB W AMSTERDAM AVE (U/LVL),1,14.91,14.91,14.91,288.0,2017-05-05T10:26:50.000,40.84532,-73.922323,Heavy congestion
Bronx,CBE W U/LEV AMSTERDAM AVE - I95 S EXP LNS,1,29.2,29.2,29.2,280.0,2017-05-05T10:26:49.000,40.850459,-73.947422,Moderate traffic
Bronx,HRP N LAFAYETTE AVENUE - E TREMONT AVENUE,1,50.95,50.95,50.95,74.0,2017-05-05T10:26:51.000,40.83291,-73.837669,Free flow
Bronx,HRP S Lafayette Ave - BWB S Toll Plaza,1,1.24,1.24,1.24,1466.0,2017-05-05T10:25:54.000,40.820402,-73.836403,Severe congestion
Bronx,I-87 NYST S Exit 1 - MDE S Van Cortlandt Park,1,44.12,44.12,44.12,158.0,2014-03-21T15:24:27.000,40.892777,-73.886865,Free flow
Bronx,MDE N RFK Bridge - 142nd St,1,8.7,8.7,8.7,533.0,2017-05-05T10:21:49.000,40.808443,-73.925896,Severe congestion
Bronx,MDE N VAN CORTLAND PARK - NYST N EXIT 1 (MP.48),1,37.9,37.9,37.9,234.0,2014-03-21T15:23:00.000,40.88908,-73.889866,Free flow
